date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:02	649/649	---M-Z	200	added ('OK')	text/plain	etag:%2297d24e3-619-4ece3d2605f36%22	https://cs.wmich.edu/robots.txt		(from )
18:52:02	6315/6315	---M-Z	200	added ('OK')	text/html	etag:%2259102e1-18ab-5073191cd3239%22	https://cs.wmich.edu/~yang/teach/cs4430/	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/index.html	(from )
18:52:03	1427/1427	---M--	200	added ('OK')	image/gif	etag:%2252085d1-593-4e30ecc858628%22	https://cs.wmich.edu/~yang/teach/itsnew.gif	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/itsnew.gif	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:03	150190/150190	---M--	200	added ('OK')	application/pdf	etag:%2259103a9-24aae-502a2a23dee84%22	https://cs.wmich.edu/~yang/teach/cs4430/CS4430Schedule-Fall.pdf	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/CS4430Schedule-Fall.pdf	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:03	1131/1131	---M-Z	200	added ('OK')	text/html	etag:%2259102de-46b-50931a6420ce0%22	https://cs.wmich.edu/~yang/teach/cs4430/projects.html	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/projects.html	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:03	2144/2144	---M-Z	200	added ('OK')	text/html	etag:%2259102b9-860-502cbc6e3bef4%22	https://cs.wmich.edu/~yang/teach/cs4430/RelationalAlgebra.html	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/RelationalAlgebra.html	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:03	8602/8602	---M-Z	200	added ('OK')	text/html	etag:%2259103ac-219a-5044b1e7e214b%22	https://cs.wmich.edu/~yang/teach/cs4430/SQLQuery.html	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/SQLQuery.html	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:03	4256/4256	---M-Z	200	added ('OK')	text/html	etag:%2259103ae-10a0-50512d652aa25%22	https://cs.wmich.edu/~yang/teach/cs4430/SQLContraints.html	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/SQLContraints.html	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:04	3546/3546	---M-Z	200	added ('OK')	text/html	etag:%2259103ad-dda-506cd280ff2b6%22	https://cs.wmich.edu/~yang/teach/cs4430/AssignmentAppDev.html	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/AssignmentAppDev.html	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:04	2367/2367	---M-Z	200	added ('OK')	text/html	etag:%2259103bf-93f-50731c13fd463%22	https://cs.wmich.edu/~yang/teach/cs4430/AssignmentDBDesign.html	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/AssignmentDBDesign.html	(from https://cs.wmich.edu/~yang/teach/cs4430/)
18:52:04	8804/8804	---M--	200	added ('OK')	application/zip	etag:%225910407-2264-507d42a698e97%22	https://cs.wmich.edu/~yang/teach/cs4430/sqllab.zip	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/sqllab.zip	(from https://cs.wmich.edu/~yang/teach/cs4430/SQLQuery.html)
18:52:04	1251/1251	---M--	200	added ('OK')	application/x-sql	etag:%225208002-4e3-506ccf9afbfc1%22	https://cs.wmich.edu/~yang/teach/cs4430/create_mail.sql	C:/My%20Web%20Sites/school2/cs.wmich.edu/_yang/teach/cs4430/create_mail.sql	(from https://cs.wmich.edu/~yang/teach/cs4430/AssignmentAppDev.html)
